pku_id,source_transcript_id,knowledge_mode,knowledge_type,concept_label,pedagogical_concept_id,cefr_decision,skill_scope,teaching_roles,authority_refs,lesson_mapping_status,review_status,operator_confirmation,disposition,risk_flags,evidence_anchor,operator_decision,operator_notes
KET99-P005-PKU01,P005,PRONUNCIATION_SUPPORT,PRONUNCIATION_PATTERN,Contrast stress in -teen and -ty number forms,PRON.NUMBER_TEEN_TY_STRESS_CONTRAST,ADMITTED_A1_AND_A1_PLUS,LISTENING|SPEAKING,FOCUS|PRACTICE|REMEDIATION,,BLOCKED_MISSING_LESSON_TEACHING_NEED_IDENTITY,AI_ASSISTED_MANUAL_REVIEWED,PENDING,PILOT_ADMITTED_PENDING_OPERATOR,,thirteen/thirty and fourteen/forty are contrasted by stress placement,,
KET99-P005-PKU02,P005,LEARNER_SKILL,LISTENING_SKILL,Discriminate teen and ty numbers in listening,LISTENING.DISCRIMINATE_TEEN_TY_NUMBERS,ADMITTED_A1_AND_A1_PLUS,LISTENING,FOCUS|PRACTICE|REMEDIATION,,BLOCKED_MISSING_LESSON_TEACHING_NEED_IDENTITY,AI_ASSISTED_MANUAL_REVIEWED,PENDING,PILOT_ADMITTED_PENDING_OPERATOR,,circle the heard number from paired teen/ty alternatives,,
KET99-P005-PKU03,P005,TEACHER_METHOD,TEACHING_ROUTINE,Pre-read number alternatives aloud before listening,TEACHING.PREACTIVATE_NUMBER_FORMS_BEFORE_LISTENING,ADMITTED_A1_AND_A1_PLUS,LISTENING|SPEAKING,INTRO|SUPPORT,,BLOCKED_MISSING_LESSON_TEACHING_NEED_IDENTITY,AI_ASSISTED_MANUAL_REVIEWED,PENDING,PILOT_ADMITTED_PENDING_OPERATOR,,read number options first so heard forms can be matched,,
KET99-P005-PKU04,P005,LEARNER_SKILL,LISTENING_SKILL,Extract multiple numbers from a short dialogue,LISTENING.EXTRACT_MULTIPLE_NUMBERS_FROM_DIALOGUE,ADMITTED_A1_PLUS,LISTENING,PRACTICE|TRANSFER,,BLOCKED_MISSING_LESSON_TEACHING_NEED_IDENTITY,AI_ASSISTED_MANUAL_REVIEWED,PENDING,PILOT_ADMITTED_PENDING_OPERATOR,,write the three numbers heard in each conversation,,
KET99-P005-PKU05,P005,LEARNER_SKILL,LISTENING_SKILL,Mark the target person or place before audio,LISTENING.MARK_TARGET_ENTITY_BEFORE_AUDIO,ADMITTED_A1_PLUS,LISTENING,SUPPORT|PRACTICE,,BLOCKED_MISSING_LESSON_TEACHING_NEED_IDENTITY,AI_ASSISTED_MANUAL_REVIEWED,PENDING,PILOT_ADMITTED_PENDING_OPERATOR,,identify the named person and requested location before listening,,
KET99-P005-PKU06,P005,LEARNER_SKILL,LISTENING_SKILL,Compare visual options by distinguishing details,LISTENING.COMPARE_VISUAL_OPTION_DIFFERENCES,ADMITTED_A1_PLUS,LISTENING,SUPPORT|PRACTICE,,BLOCKED_MISSING_LESSON_TEACHING_NEED_IDENTITY,AI_ASSISTED_MANUAL_REVIEWED,PENDING,PILOT_ADMITTED_PENDING_OPERATOR,,inspect three picture choices and identify their core difference,,
KET99-P005-PKU07,P005,EXAM_PROCEDURE,EXAM_TASK_PROCEDURE,KET Listening Part 1 picture-choice procedure,EXAM.KET_LISTENING_PART1_PICTURE_CHOICE,REJECTED_EXAM_PROCEDURE_ONLY,LISTENING,EXAM_PREPARATION,,NOT_ELIGIBLE,AI_ASSISTED_MANUAL_REVIEWED,PENDING,REJECTED_EXAM_PROCEDURE_ONLY,OFFICIAL_EXAM_FORMAT_VERIFICATION_REQUIRED,the source explains the test-part item form and answer procedure,,
KET99-P006-PKU01,P006,LEARNER_LANGUAGE,GRAMMAR_FORM,"Select am, is, or are according to the subject",GRAMMAR.BE.SUBJECT_FORM_AGREEMENT,ADMITTED_A1,SPEAKING|WRITING,FOCUS|PRACTICE|REMEDIATION,GRAMMAR_BE_VERB_BASIC,EXACT_AUTHORITY_JOIN_READY,AI_ASSISTED_MANUAL_REVIEWED,PENDING,PILOT_ADMITTED_PENDING_OPERATOR,,"I-am, you/we/they-are, he/she/it-is",,
KET99-P006-PKU02,P006,LEARNER_LANGUAGE,GRAMMAR_FORM,Form affirmative and negative present-be statements,GRAMMAR.BE.AFFIRMATIVE_NEGATIVE_STATEMENT,ADMITTED_A1,SPEAKING|WRITING,FOCUS|PRACTICE|ERROR_REPAIR,GRAMMAR_BE_VERB_BASIC,EXACT_AUTHORITY_JOIN_READY,AI_ASSISTED_MANUAL_REVIEWED,PENDING,PILOT_ADMITTED_PENDING_OPERATOR,,affirmative and negative examples describe age nationality and feelings,,
KET99-P006-PKU03,P006,LEARNER_LANGUAGE,GRAMMAR_FORM,Invert be and subject for yes-no questions,GRAMMAR.BE.YES_NO_QUESTION_INVERSION,ADMITTED_A1,SPEAKING|WRITING,FOCUS|PRACTICE,GRAMMAR_BE_INTERROGATIVES_A1,EXACT_AUTHORITY_JOIN_READY,AI_ASSISTED_MANUAL_REVIEWED,PENDING,PILOT_ADMITTED_PENDING_OPERATOR,,Are they Spanish and Is he thirteen place be before the subject,,
KET99-P006-PKU04,P006,LEARNER_LANGUAGE,GRAMMAR_FORM,Give short answers to present-be questions,GRAMMAR.BE.SHORT_ANSWER,ADMITTED_A1,SPEAKING|WRITING,FOCUS|PRACTICE,GRAMMAR_BE_INTERROGATIVES_A1,EXACT_AUTHORITY_JOIN_READY,AI_ASSISTED_MANUAL_REVIEWED,PENDING,PILOT_ADMITTED_PENDING_OPERATOR,,yes/no short answers keep subject and matching be form,,
