episode_id	micro_scene_id	life_domain	governed_scene_family	discourse_family	five_w_one_h	target_relations	support_language	review_status	source_fact_lineage	passage
U04-NEB-E001	U04-NEB-MS01	HOME	HOME_BEDROOM_LIVING	SCENE_DESCRIPTION	WHO,WHAT,WHERE	in,under,on,near,behind	and,while	PASS_GPT5_6_SOL_DIRECT_REVIEW	Leo in bedroom; toy car under bed; book on chair; shoes near door; ball behind box	Leo is in his bedroom. His toy car is under the bed, and his book is on the chair. His shoes are near the door, while his ball is behind a box.
U04-NEB-E002	U04-NEB-MS01	HOME	HOME_BEDROOM_LIVING	FINDING_SOMETHING	WHO,WHAT,WHERE,WHY,HOW	in,under,on,near,behind	and,still,look for	PASS_GPT5_6_SOL_DIRECT_REVIEW	Leo in bedroom; toy car under bed; book on chair; shoes near door; ball behind box	Leo is looking for his toy car in the bedroom. His book is on the chair, and his shoes are near the door. He checks under the bed and finds the car there. The ball is still behind the box.
U04-NEB-E003	U04-NEB-MS01	HOME	HOME_BEDROOM_LIVING	GETTING_READY	WHO,WHAT,WHERE,WHEN,WHY	under,on,near,behind	but,so,get ready	PASS_GPT5_6_SOL_DIRECT_REVIEW	toy car under bed; book on chair; shoes near door; ball behind box	Leo is getting ready for school. His shoes are near the door, but his book is on the chair. The toy car is under the bed, so he leaves it there. His ball is behind the box.
U04-NEB-E004	U04-NEB-MS02	HOME	HOME_BEDROOM_LIVING	PICTURE_OBSERVATION	WHO,WHAT,WHERE	in,on,under,near	and,with	PASS_GPT5_6_SOL_DIRECT_REVIEW	Mia in living room; cat on sofa; toy under sofa; lamp near sofa; books on table	Mia is in the living room with her cat. The cat is on the sofa, and its toy is under the sofa. A lamp is near the sofa, and some books are on the table.
U04-NEB-E005	U04-NEB-MS02	HOME	HOME_BEDROOM_LIVING	FINDING_SOMETHING	WHO,WHAT,WHERE,WHY,HOW	on,under,near	but,and,look under	PASS_GPT5_6_SOL_DIRECT_REVIEW	cat on sofa; toy under sofa; lamp near sofa	Mia wants the cat's toy. The cat is on the sofa, but the toy is under the sofa. A lamp is near the sofa, and Mia looks under the sofa and finds the toy there.
U04-NEB-E006	U04-NEB-MS02	HOME	HOME_BEDROOM_LIVING	TIDYING_UP	WHO,WHAT,WHERE,WHY,HOW	on,under,near	and,while	PASS_GPT5_6_SOL_DIRECT_REVIEW	cat on sofa; toy under sofa; lamp near sofa; books on table	Mia is tidying the living room. The books are on the table, and the lamp is near the sofa. The cat stays on the sofa while Mia reaches under the sofa for the toy.
U04-NEB-E007	U04-NEB-MS03	HOME	KITCHEN_DINING	DAILY_ROUTINE	WHO,WHAT,WHERE,WHEN	in,on,between,under,near	before,and	PASS_GPT5_6_SOL_DIRECT_REVIEW	Dad in kitchen; plates on table; cups between plates and bowl; cat under table; bag near door	Dad is in the kitchen before dinner. The plates are on the table, and the cups are between the plates and the bowl. The cat is under the table, and a bag is near the door.
U04-NEB-E008	U04-NEB-MS03	HOME	KITCHEN_DINING	PROBLEM_SOLUTION	WHO,WHAT,WHERE,WHY,HOW	on,between,near	and,already,so	PASS_GPT5_6_SOL_DIRECT_REVIEW	plates on table; cups between plates and bowl; bag near door	Dad is getting dinner ready. The plates are already on the table, and the cups are between the plates and the bowl. A bag is near the door, so he moves it out of the way.
U04-NEB-E009	U04-NEB-MS03	HOME	KITCHEN_DINING	SIMPLE_SEQUENCE	WHO,WHAT,WHERE,HOW	on,between,under	first,then,and	PASS_GPT5_6_SOL_DIRECT_REVIEW	plates on table; cups between plates and bowl; cat under table	Dad gets the table ready for dinner. First, he puts the plates on the table. Then he places the cups between the plates and the bowl. The cat waits under the table.
U04-NEB-E010	U04-NEB-MS04	CLASSROOM	SCHOOL_CLASSROOM_LEARNING	ARRIVAL	WHO,WHAT,WHERE,WHEN	in,under,on,near,behind	before,and,while	PASS_GPT5_6_SOL_DIRECT_REVIEW	Emma in classroom; bag under chair; book on desk; bottle near book; coat behind door	Emma is in the classroom before class. Her bag is under the chair, and her English book is on the desk. A bottle is near the book, while her coat is behind the door.
U04-NEB-E011	U04-NEB-MS04	CLASSROOM	SCHOOL_CLASSROOM_LEARNING	GETTING_READY	WHO,WHAT,WHERE,WHEN,WHY	under,on,behind	and,before,get ready	PASS_GPT5_6_SOL_DIRECT_REVIEW	bag under chair; book on desk; coat behind door	Emma is getting ready for class. Her English book is on the desk, and her bag is under the chair. She checks behind the door for her coat before the lesson starts.
U04-NEB-E012	U04-NEB-MS04	CLASSROOM	SCHOOL_CLASSROOM_LEARNING	GIVING_LOCATION	WHO,WHAT,WHERE	under,on,near,behind	and	PASS_GPT5_6_SOL_DIRECT_REVIEW	bag under chair; book on desk; bottle near book; coat behind door	Emma shows a friend where her things are. The book is on the desk, the bag is under the chair, and the coat is behind the door. The bottle is near the book.
U04-NEB-E013	U04-NEB-MS05	CLASSROOM	SCHOOL_CLASSROOM_LEARNING	FINDING_SOMETHING	WHO,WHAT,WHERE,WHY,HOW	at,inside,under,on,between	and,cannot find	PASS_GPT5_6_SOL_DIRECT_REVIEW	Ben at desk; pencil case inside bag; ruler under book; notebook on desk; eraser between notebook and pencil case	Ben is at his desk and cannot find his ruler. His notebook is on the desk, and the pencil case is inside his bag. He lifts a book and finds the ruler under it. His eraser is between the notebook and the pencil case.
U04-NEB-E014	U04-NEB-MS05	CLASSROOM	SCHOOL_CLASSROOM_LEARNING	MEMORY_RECALL	WHO,WHAT,WHERE,HOW	inside,under,on,between	and,but,remember	PASS_GPT5_6_SOL_DIRECT_REVIEW	pencil case inside bag; ruler under book; notebook on desk; eraser between notebook and pencil case	Ben tries to remember where he put his school things. The notebook is on the desk, and the pencil case is inside his bag. The eraser is between the notebook and the pencil case, but the ruler is under a book.
U04-NEB-E015	U04-NEB-MS05	CLASSROOM	SCHOOL_CLASSROOM_LEARNING	ASKING_LOCATION	WHO,WHAT,WHERE,WHY	at,under,between	but,and,ask for help	PASS_GPT5_6_SOL_DIRECT_REVIEW	Ben at desk; ruler under book; eraser between notebook and pencil case	Ben asks a classmate for help. He is at his desk, but the ruler is not easy to see. It is under a book, and the eraser is between the notebook and the pencil case.
U04-NEB-E016	U04-NEB-MS06	CLASSROOM	SCHOOL_CLASSROOM_LEARNING	TIDYING_UP	WHO,WHAT,WHERE,WHY,HOW	in,on,under,near	after,and,still	PASS_GPT5_6_SOL_DIRECT_REVIEW	Sara in classroom; books on shelf; ball under table; boxes near wall; poster on wall	Sara is tidying the classroom after an activity. Three books are on a shelf, and two boxes are near the wall. She sees a ball under the table and puts it away. A poster is still on the wall.
U04-NEB-E017	U04-NEB-MS06	CLASSROOM	SCHOOL_CLASSROOM_LEARNING	SCENE_DESCRIPTION	WHO,WHAT,WHERE	in,on,under,near	and,still	PASS_GPT5_6_SOL_DIRECT_REVIEW	Sara in classroom; books on shelf; ball under table; boxes near wall; poster on wall	Sara is in the classroom, and the room is almost tidy. The books are on a shelf, and two boxes are near the wall. One ball is still under a table, and a poster is on the wall.
U04-NEB-E018	U04-NEB-MS06	CLASSROOM	SCHOOL_CLASSROOM_LEARNING	PROBLEM_SOLUTION	WHO,WHAT,WHERE,WHY,HOW	on,under,near	and,already,so	PASS_GPT5_6_SOL_DIRECT_REVIEW	books on shelf; ball under table; boxes near wall	Sara wants to clear the floor. She notices a ball under the table and two boxes near the wall. The books are already on the shelf, so she only needs to move the ball.
U04-NEB-E019	U04-NEB-MS07	SCHOOL	SCHOOL_CLASSROOM_LEARNING	SCENE_DESCRIPTION	WHO,WHAT,WHERE	in,on,between,under,at	and,while	PASS_GPT5_6_SOL_DIRECT_REVIEW	Noah in school library; storybook on table; dictionary between notebooks; bag under chair; librarian at desk	Noah is in the school library. A storybook is on the table, and a dictionary is between two notebooks. His school bag is under the chair, while the librarian is at the desk.
U04-NEB-E020	U04-NEB-MS07	SCHOOL	SCHOOL_CLASSROOM_LEARNING	FINDING_SOMETHING	WHO,WHAT,WHERE,WHY,HOW	on,between,under	and,while	PASS_GPT5_6_SOL_DIRECT_REVIEW	storybook on table; dictionary between notebooks; bag under chair	Noah wants the dictionary for his homework. A storybook is on the table, and the dictionary is between two notebooks. His school bag stays under the chair while he reads.
U04-NEB-E021	U04-NEB-MS07	SCHOOL	SCHOOL_CLASSROOM_LEARNING	ASKING_LOCATION	WHO,WHAT,WHERE,WHY	at,under,near	so,and,while,ask	PASS_GPT5_6_SOL_DIRECT_REVIEW	bag under chair; librarian at desk; Noah near table	Noah cannot find a book, so he asks the librarian. She is at the desk, and Noah is near the table. His school bag is under the chair while he waits.
U04-NEB-E022	U04-NEB-MS08	SCHOOL	SCHOOL_CLASSROOM_LEARNING	ARRIVAL	WHO,WHAT,WHERE,WHEN	behind,near,at	and,in the morning,in front of,next to	PASS_GPT5_6_SOL_DIRECT_REVIEW	Lily in front of school; brother next to her; bus behind children; bags near feet; teacher at door	Lily and her brother are in front of the school in the morning. Her brother is next to her, and a bus is behind them. Their bags are near their feet, and a teacher is at the door.
U04-NEB-E023	U04-NEB-MS08	SCHOOL	SCHOOL_CLASSROOM_LEARNING	WAITING	WHO,WHAT,WHERE,WHEN,WHY	behind,near,at	and,while,wait for,next to	PASS_GPT5_6_SOL_DIRECT_REVIEW	brother next to Lily; bus behind children; bags near feet; teacher at door	Lily is waiting for the school door to open. Her brother stands next to her, and their bags are near their feet. The bus is behind the children, while a teacher is at the door.
U04-NEB-E024	U04-NEB-MS08	SCHOOL	SCHOOL_CLASSROOM_LEARNING	PICTURE_OBSERVATION	WHO,WHAT,WHERE	behind,near,at	and,in front of,there are	PASS_GPT5_6_SOL_DIRECT_REVIEW	children in front of school; bus behind them; bags near feet; teacher at door	There are two children in front of the school. A bus is behind them, and their bags are near their feet. The teacher at the door is ready to welcome them.
